**movies.txt** \- Contains the following information for titles:

-   tconst (string) - alphanumeric unique identifier of the title
-   primaryTitle (string) the more popular title / the title used by the filmmakers on promotional materials at the point of release
-   startYear (YYYY) represents the release year of a title. In the case of TV Series, it is the series start year
-   genre1-genre3 includes up to three genres associated with the title

tconst	primaryTitle	startYear	genre1	genre2	genre3
tt0011216	Spanish Fiesta	2019	Drama		
tt0062336	The Tango of the Widower and Its Distorting Mirror	2020	Drama		
tt0069049	The Other Side of the Wind	2018	Drama		
tt0100275	The Wandering Soap Opera	2017	Comedy	Drama	Fantasy
tt0111414	A Thin Life	2018	Comedy		
tt0114978	Derevyannaya komnata	2017	Drama		
tt0116991	Mariette in Ecstasy	2019	Drama		
tt0120589	A Dangerous Practice	2021	Drama		
tt0192528	Heaven & Hell	2018	Drama		
tt0228802	Mugen ryûkyû tsuru Henrî	2021	Drama	Fantasy	
tt0276132	The Fetishist	2019	Animation		
tt0326716	5-25-77	2021	Comedy	Drama	
tt0328810	My Land	2018	Drama	Family	
tt0346172	Zamaanat: And Justice for All	2021	Drama	Family	Mystery
tt0360556	Fahrenheit 451	2018	Drama	Sci-Fi	Thriller
tt0365545	Nappily Ever After	2018	Comedy	Drama	Romance
tt0383477	Love & Orgasms	2020	Drama		
tt0426522	Making Angels	2022	Comedy	Drama	Fantasy
tt0427543	A Million Little Pieces	2018	Drama		
tt0443533	The History of Love	2016	Drama	Romance	War
tt0446792	Surviving in L.A.	2020	Comedy	Drama	Romance
tt0460890	The Only Living Boy in New York	2017	Drama		
tt0470936	Hot Country, Cold Winter	2016	Drama		
tt0475290	Hail, Caesar!	2016	Comedy	Drama	Music
tt0477894	La tragica fine di Caligula imperator	2017	Drama		
tt0490215	Silence	2016	Drama	History	
tt0491175	Suburbicon	2017	Comedy	Crime	Drama
tt0491203	Tulip Fever	2017	Drama	History	Romance
tt0498381	Rings	2017	Drama	Horror	Mystery
tt0765453	Have You Seen Me?	2016	Comedy		
tt0783640	The Last Full Measure	2019	Drama	War	
tt0821486	Manhattan Minutiae	2016	Comedy	Music	Romance
tt0825334	Caravaggio and My Mother the Pope	2018	Comedy	Drama	
tt0835802	Krystal	2017	Comedy	Drama	
tt0837156	Pee-wee's Big Holiday	2016	Comedy	Family	
tt0838194	Retreat!	2016	Comedy	Drama	War
tt0840306	Cosmic Radio	2021	Drama		
tt0858419	Bolden	2019	Drama		
tt0859635	Super Troopers 2	2018	Comedy	Crime	Mystery
tt0874268	The Dot Man	2017	Drama	Thriller	
tt0906327	The Unlikely's	2016	Comedy		
tt0918520	Gangster Kittens	2016	Drama	Thriller	
tt0920462	Lost Girls and Love Hotels	2020	Drama		
tt0932667	The Man in the Silo	2016	Drama		
tt0937225	Joe Dick	2017	Comedy		
tt0965381	Milli Vanilli	2022	Comedy	Drama	
tt0995854	A Journal for Jordan	2021	Drama		
tt10001116	Mistero di un Impiegato	2019	Drama		
tt10002654	Pattabhiraman	2019	Drama		
tt10003008	The Rental	2020	Drama	Horror	Mystery
tt10003618	Celts	2021	Drama		
tt10003792	Adalat	2019	Drama		
tt10003806	Jadugar 2	2019	Comedy		
tt10003990	Child of Wisdom	2019	Drama		
tt10004074	Ali the Blind Boxer	2019	Drama		
tt10004368	Jak najdalej stad	2020	Comedy	Drama	
tt10004396	When I Became a Butterfly	2018	Drama	Thriller	
tt10004574	Paradise	2019	Drama	Thriller	
tt10005378	In Their Own Words, Billy the Kid & The Lincoln County War	2019	Drama	Western	
tt10005864	Barof 2019	2019	Drama		
tt10006056	La notte è piccola per noi	2016	Drama		
tt10006156	Krishnam	2019	Drama		
tt10006160	Kala azar	2020	Drama		
tt10006270	Hunting Season	2019	Comedy		
tt10006276	He's My Daddy Too	2019	Drama		
tt10007268	Mesto!	2019	Drama		
tt10007352	Sifir: Etkisiz Eleman	2019	Comedy		
tt10008784	Bull	2019	Drama		
tt10009030	Snatchers	2019	Comedy	Horror	Sci-Fi
tt10009342	Trouble Makers	2019	Comedy	Romance	
tt10009434	Family Obligations	2019	Comedy	Drama	
tt10009878	Encrypted: The Cyber Crime	2019	Drama		
tt10010814	Turtle	2018	Drama		
tt10010852	F-Word	2021	Comedy		
tt10010874	The 10th Man	2021	Comedy		
tt10011206	Dhingana	2017	Comedy		
tt10011244	My Neighbor Wants Me Dead	2019	Comedy	Fantasy	Horror
tt10011336	Lucky Grandma	2019	Comedy	Drama	
tt10011852	Saalaiyoram	2016	Drama		
tt10013288	The Promise	2017	Drama		
tt10014042	Forced Marriage	2018	Comedy	Drama	
tt10014838	The Forgotten	2019	Drama		
tt10015248	Kader Postasi	2019	Drama	Romance	
tt10015644	I Watched TV Show and Died from Blood	2019	Drama		
tt10016254	Skvoznyye Shagi	2018	Drama		
tt10016502	Back from 2038	2019	Comedy	Fantasy	
tt10016532	Ispade Rajavum Idhaya Raniyum	2019	Drama	Romance	
tt10017454	The Purple Mist	2019	Drama		
tt10017460	Egise Taara Juvvalu	2017	Drama		
tt10017502	Lost Einstein	2018	Drama	Sci-Fi	
tt10017546	Ila Ayithe Ela	2017	Drama		
tt10017566	Bikers Kental 2	2019	Comedy		
tt10017956	Gone Kesh	2019	Comedy	Drama	
tt10019108	Villa Caprice	2020	Drama		
tt10019402	Finals	2019	Drama	Sport	
tt10020682	Chicago I'm Home	2019	Comedy		
tt10021464	100 Kada 10	2019	Comedy		
tt10021478	Garud Puran	2019	Comedy		
tt10021688	Papers 14: Purge of the Papers	2019	Comedy		
tt10021754	Incursão	2019	Drama	Mystery	
tt10022384	The Protector	2019	Comedy	Romance	
tt10022684	Anuttara	2018	Drama		
tt10022726	Sweet Face	2020	Drama	Romance	
tt10022858	Sucker for Love	2019	Drama		
tt10022864	It Could Be Him	2019	Comedy		
tt10023024	Love Aaj Kal	2020	Drama	Romance	
tt10023080	Nedunalvaadai	2019	Drama		
tt10023150	My Cousin	2020	Comedy		
tt10023172	Simple Passion	2020	Drama	Romance	
tt10023286	The Humans	2021	Drama		
tt10023318	Waiting for the Boatman	2016	Drama		
tt10023330	Deep Swimmer	2016	Drama		
tt10023506	Katha Karana Heena	2019	Drama	Family	
