tconst	averageRating	numVotes
tt0011216	6.9	21
tt0062336	6.3	140
tt0069049	6.8	6591
tt0100275	6.5	271
tt0114978	6.6	55
tt0116991	7.6	47
tt0192528	4.0	87
tt0328810	7.7	72
tt0360556	4.9	18276
tt0365545	6.4	8483
tt0383477	5.8	26
tt0427543	6.2	2147
tt0443533	6.3	1271
tt0446792	7.6	14
tt0460890	6.3	12632
tt0470936	4.2	64
tt0475290	6.3	126621
tt0477894	6.2	6
tt0490215	7.2	103220
tt0491175	5.7	41441
tt0491203	6.2	19382
tt0498381	4.5	38484
tt0783640	6.8	9203
tt0821486	6.0	27
tt0825334	8.4	60
tt0835802	5.5	1398
tt0837156	6.1	7446
tt0838194	7.7	15
tt0840306	6.9	93
tt0858419	5.5	459
tt0859635	6.0	24608
tt0874268	7.5	45
tt0906327	7.3	16
tt0918520	6.9	11
tt0920462	4.6	3340
tt0932667	5.3	127
tt0937225	5.7	26
tt10002654	6.9	779
tt10003008	5.7	22415
tt10003618	6.9	26
tt10004368	7.1	507
tt10004396	5.5	17
tt10004574	4.4	15
tt10005378	6.1	7
tt10005864	6.7	9
tt10006056	6.2	24
tt10006160	5.1	176
tt10006270	5.0	568
tt10007268	5.3	26
tt10008784	6.5	1566
tt10009030	5.8	2608
tt10009434	5.5	242
tt10009878	4.3	13
tt10010814	8.6	9
tt10011244	5.9	16
tt10011336	6.4	1281
tt10011852	7.2	25
tt10014838	7.5	60
tt10015248	6.4	28
tt10015644	7.5	21
tt10016502	5.3	14
tt10016532	6.5	449
tt10017454	6.5	116
tt10017460	6.2	8
tt10017566	6.7	97
tt10017956	7.0	1222
tt10019108	5.6	44
tt10019402	7.1	341
tt10020682	7.3	30
tt10022384	5.5	557
tt10022684	8.0	9
tt10022864	7.2	5
tt10023024	4.7	7002
tt10023080	7.3	281
tt10023150	5.2	342
tt10023172	5.6	104
tt10025196	4.5	6
tt1002563	5.7	3276
tt10028708	3.8	5
tt10032266	6.7	299
tt10032342	7.8	24
tt10033908	5.7	23
tt10034168	7.9	22
tt10034272	7.9	433
tt10035478	6.4	260
tt10037014	5.9	3515
tt10037934	8.3	19
tt10038660	5.9	56
tt10039014	6.8	6
tt10039338	8.7	26
tt10039524	5.4	435
tt10039584	7.7	6
tt10042590	6.0	481
tt10043660	4.8	311
tt10043742	7.2	10
tt10043746	7.1	39
tt10044220	7.6	257
tt10044704	6.3	148
tt10044934	7.7	12
tt10044946	6.3	20
tt10045134	4.2	6
tt10045434	7.0	1196
tt10046208	6.3	27
tt10046522	5.6	30
tt10046694	6.2	171
tt10047958	5.2	1552
tt10048376	5.1	15
tt10049262	6.9	109
tt10049768	6.8	5
tt10050608	6.4	9
tt10050722	7.0	17
tt10051088	7.1	87
tt10051586	3.9	323
tt10052156	5.7	72
tt10053058	5.9	12
