startYear,genre1,rPesato
2016.0,Animation,3945190.699999999
2016.0,Comedy,26585003.999999996
2016.0,Drama,32958958.10000004
2016.0,Romance,118468.9
2017.0,Animation,784305.9000000001
2017.0,Comedy,23727044.4
2017.0,Drama,27139146.39999999
2017.0,Romance,122261.8
2018.0,Animation,1193869.1
2018.0,Comedy,20035778.999999985
2018.0,Drama,25912520.399999995
2018.0,Romance,133287.4
2019.0,Animation,789383.2999999999
2019.0,Comedy,34191262.999999925
2019.0,Drama,26212528.40000002
2019.0,Romance,77069.1
2020.0,Animation,125292.20000000001
2020.0,Comedy,11786279.399999985
2020.0,Drama,14292994.999999987
2020.0,Romance,125591.70000000003
2021.0,Animation,137093.59999999998
2021.0,Comedy,2283310.4000000004
2021.0,Drama,2171023.999999999
2021.0,Romance,24271.400000000005
